threshold,accuracy,carbon_g,escalation_rate,gqos
0.1,0.6000,0.578309,0.540,1.0375
0.2,0.6200,0.537554,0.477,1.1534
0.3,0.6300,0.524147,0.453,1.2020
0.4,0.6467,0.493372,0.407,1.3107
0.5,0.6500,0.475842,0.380,1.3660
0.6,0.6567,0.444724,0.330,1.4766
0.7,0.6533,0.439413,0.320,1.4868
0.8,0.6500,0.413473,0.280,1.5721
0.9,0.6533,0.398376,0.257,1.6400
1.0,0.6500,0.382057,0.230,1.7013
1.1,0.6467,0.349492,0.177,1.8503
1.2,0.6500,0.326792,0.140,1.9890
1.3,0.6500,0.303231,0.103,2.1436
1.4,0.6533,0.284628,0.073,2.2954
1.5,0.6533,0.271582,0.050,2.4057
1.6,0.6467,0.264751,0.037,2.4426
1.7,0.6533,0.257184,0.027,2.5403
1.8,0.6500,0.246146,0.010,2.6407
1.9,0.6500,0.238609,0.000,2.7241
