idx,subject,small_correct,small_entropy,small_energy,small_carbon,small_logits,large_correct,large_entropy,large_energy,large_carbon
0,college_physics,0,0.87109375,29.95066254337991,0.004742188236035153,"[53.125, 55.15625, 57.125, 54.15625]",0,0.421875,30.29669593692519,0.004796976856679821
1,anatomy,0,1.4814453125,5.845218419226088,0.0009254929163774638,"[61.5625, 60.28125, 61.84375, 58.59375]",0,0.1640625,12.472531630771643,0.00197481750820551
2,high_school_statistics,1,0.84814453125,9.381238769554088,0.0014853628051793972,"[60.875, 53.5, 61.9375, 56.28125]",0,0.095703125,20.100402134124725,0.0031825636712364148
3,miscellaneous,1,0.021392822265625,4.112618741510498,0.0006511646340724954,"[54.0625, 52.1875, 61.1875, 54.125]",1,0.1474609375,10.138127958337316,0.0016052035934034082
4,prehistory,1,0.038787841796875,5.15120581262143,0.000815607586998393,"[61.0625, 54.71875, 54.5625, 53.03125]",0,0.0014801025390625,14.214989003221632,0.002250706592176758
5,security_studies,1,1.265625,15.757051210463912,0.002494866441656786,"[58.84375, 59.59375, 61.15625, 58.65625]",1,0.04345703125,24.043056447588622,0.003806817270868198
6,conceptual_physics,0,0.05072021484375,5.6969617862586945,0.0009020189494909599,"[62.6875, 57.46875, 53.09375, 53.59375]",0,1.4528632164001465e-07,10.9374639149602,0.0017317651198686984
7,marketing,1,0.056060791015625,4.926870888312369,0.0007800878906494583,"[56.4375, 53.71875, 61.71875, 54.0625]",1,1.519918441772461e-06,11.82756765540204,0.001872698212105323
8,professional_law,0,1.4052734375,10.222334326469667,0.0016185362683576972,"[56.8125, 59.96875, 59.9375, 58.03125]",0,0.04443359375,18.685507563773918,0.002958538697597537
9,jurisprudence,0,1.13671875,8.26102993386477,0.001307996406195255,"[58.84375, 57.0, 55.125, 59.75]",0,0.0703125,12.738927374922744,0.0020169968343627677
10,moral_scenarios,0,1.0107421875,6.925142502737686,0.0010964808962668003,"[62.90625, 56.71875, 62.9375, 51.71875]",0,0.400390625,10.822489678939636,0.001713560865832109
11,public_relations,0,1.333984375,6.764752501089984,0.0010710858126725808,"[56.8125, 60.15625, 58.84375, 58.46875]",1,0.73046875,8.790781629374422,0.0013918737579842837
12,jurisprudence,1,0.027740478515625,5.834973126379787,0.000923870745010133,"[54.8125, 52.5, 53.78125, 61.1875]",1,0.326171875,12.097595202273826,0.0019154525736933558
